Area Code,Structure Name,Struc Type Code,Bus Asc Name,Install Date,Removal Date,Latitude,Longitude,year
GB,A (COOPER)FPF,SEMI,Newfield Exploration Gulf Coast LLC,7/7/1995,8/13/1999,27.62428816,-92.18969085,1995
MC,A(NA KIKA FPDS),SEMI,BP Exploration & Production Inc.,8/2/2003,,28.52090278,-88.28878889,2003
MC,A(Thunder Horse,SEMI,BP Exploration & Production Inc.,4/1/2005,,28.19060986,-88.49558496,2005
MC,A (GOMEZ),SEMI,ATP Oil & Gas Corporation,3/8/2006,2/3/2014,28.22065524,-89.61507167,2006
GC,A (Atlantis),SEMI,BP Exploration & Production Inc.,1/16/2007,,27.19545638,-90.02698449,2007
MC,A(Independence,SEMI,Anadarko Petroleum Corporation,6/11/2007,12/4/2019,28.08505618,-87.98583928,2007
MC,A (Blind Faith),SEMI,Chevron U.S.A. Inc.,4/18/2008,,28.34153544,-88.26568688,2008
MC,A(Thunder Hawk),SEMI,Fieldwood Energy LLC,8/7/2009,,28.26728694,-88.39892063,2009
MC,A(Mirage/Titan),SEMI,Equinor USA E&P Inc.,3/6/2010,,28.03364844,-89.10075833,2010
MC,A- WHO DAT,SEMI,"LLOG Exploration Offshore, L.L.C.",7/12/2011,,28.41538737,-89.0162066,2011
WR,A - Jack St. Ma,SEMI,Chevron U.S.A. Inc.,1/5/2014,,26.23498342,-91.26110675,2014
MC,A-Delta House,SEMI,Murphy Exploration & Production Company - USA,10/8/2014,,28.75448203,-88.26731603,2014
MC,A-Appomattox,SEMI,Shell Offshore Inc.,6/7/2018,,28.57350034,-87.93421264,2018
